run,bioproject,latitude,longitude,bases
SRR17868045,PRJNA802976,37.41,127.13,43784664
SRR17868046,PRJNA802976,37.41,127.13,61173434
SRR17868047,PRJNA802976,37.41,127.13,49626472
SRR17868048,PRJNA802976,37.41,127.13,54936112
SRR17868049,PRJNA802976,37.41,127.13,53664086
SRR17868050,PRJNA802976,37.41,127.13,41295394
SRR17868051,PRJNA802976,37.41,127.13,39204046
SRR17868052,PRJNA802976,37.41,127.13,64013068
SRR17868053,PRJNA802976,37.41,127.13,51554076
SRR17868054,PRJNA802976,37.41,127.13,62282318
SRR17868055,PRJNA802976,37.41,127.13,61700184
SRR17868056,PRJNA802976,37.41,127.13,49547008
SRR17868057,PRJNA802976,37.41,127.13,70008386
SRR17868058,PRJNA802976,37.41,127.13,47633852
SRR17868059,PRJNA802976,37.41,127.13,60222274
SRR17868060,PRJNA802976,37.41,127.13,55468280
SRR17868061,PRJNA802976,37.41,127.13,56552482
SRR17868062,PRJNA802976,37.41,127.13,45777284
SRR17868063,PRJNA802976,37.41,127.13,44517900
SRR17868064,PRJNA802976,37.41,127.13,80939502
SRR17868065,PRJNA802976,37.41,127.13,48669894
SRR17868066,PRJNA802976,37.41,127.13,63331002
SRR17868067,PRJNA802976,37.41,127.13,43081528
SRR17868068,PRJNA802976,37.41,127.13,48126288
SRR17868069,PRJNA802976,37.41,127.13,56779436
SRR17868070,PRJNA802976,37.41,127.13,57215886
SRR17868071,PRJNA802976,37.41,127.13,69359430
SRR17868072,PRJNA802976,37.41,127.13,56968464
SRR17868073,PRJNA802976,37.41,127.13,43838242
SRR17868074,PRJNA802976,37.41,127.13,41863682
SRR17868075,PRJNA802976,37.41,127.13,57381436
SRR17868076,PRJNA802976,37.41,127.13,39973402
SRR17868077,PRJNA802976,37.41,127.13,49814296
SRR17868078,PRJNA802976,37.41,127.13,48321336
SRR17868079,PRJNA802976,37.41,127.13,51061640
SRR17868080,PRJNA802976,37.41,127.13,59850840
SRR17868081,PRJNA802976,37.41,127.13,34203232
SRR17868082,PRJNA802976,37.41,127.13,24414712
SRR17868083,PRJNA802976,37.41,127.13,51974874
SRR17868084,PRJNA802976,37.41,127.13,65313990
SRR17868085,PRJNA802976,37.41,127.13,50908732
SRR17868086,PRJNA802976,37.41,127.13,49401324
SRR17868087,PRJNA802976,37.41,127.13,45183712
SRR17868088,PRJNA802976,37.41,127.13,53140948
SRR17868089,PRJNA802976,37.41,127.13,51862902
SRR17868090,PRJNA802976,37.41,127.13,31326274
SRR17868091,PRJNA802976,37.41,127.13,61877774
SRR17868092,PRJNA802976,37.41,127.13,58701622
SRR17868093,PRJNA802976,37.41,127.13,35425292
SRR17868094,PRJNA802976,37.41,127.13,45972332
SRR3725392,PRJNA322554,29.77152983,-95.22124444,4928754
SRR3725509,PRJNA322554,29.77152983,-95.22124444,581
SRR3725380,PRJNA322554,29.77152983,-95.22124444,9688390
SRR3725410,PRJNA322554,29.77152983,-95.22124444,567421
SRR3725457,PRJNA322554,29.77152983,-95.22124444,136774
SRR3725459,PRJNA322554,29.77152983,-95.22124444,12364309
SRR3725399,PRJNA322554,29.77152983,-95.22124444,170863
SRR3725422,PRJNA322554,29.77152983,-95.22124444,9176908
SRR3725436,PRJNA322554,29.77152983,-95.22124444,4368148
SRR3725452,PRJNA322554,29.77152983,-95.22124444,4066126
SRR3725474,PRJNA322554,29.77152983,-95.22124444,6099489
SRR3725477,PRJNA322554,29.77152983,-95.22124444,327482
SRR3725490,PRJNA322554,29.77152983,-95.22124444,7536124
SRR3725494,PRJNA322554,29.77152983,-95.22124444,2991255
SRR3725497,PRJNA322554,29.77152983,-95.22124444,5702051
SRR3725557,PRJNA322554,29.77152983,-95.22124444,2154144
SRR3725374,PRJNA322554,29.77152983,-95.22124444,3990091
SRR3725402,PRJNA322554,29.77152983,-95.22124444,117824
SRR3725409,PRJNA322554,29.77152983,-95.22124444,663825
SRR3725419,PRJNA322554,29.77152983,-95.22124444,8670719
SRR3725420,PRJNA322554,29.77152983,-95.22124444,245534
SRR3725435,PRJNA322554,29.77152983,-95.22124444,4843401
SRR3725469,PRJNA322554,29.77152983,-95.22124444,158606
SRR3725502,PRJNA322554,29.77152983,-95.22124444,8972769
SRR3725513,PRJNA322554,29.77152983,-95.22124444,7250788
SRR3725518,PRJNA322554,29.77152983,-95.22124444,4441244
SRR3725522,PRJNA322554,29.77152983,-95.22124444,7169488
SRR3725523,PRJNA322554,29.77152983,-95.22124444,6369677
SRR3725532,PRJNA322554,29.77152983,-95.22124444,7340664
SRR3725548,PRJNA322554,29.77152983,-95.22124444,5554011
SRR3725553,PRJNA322554,29.77152983,-95.22124444,5659937
SRR3725384,PRJNA322554,29.77152983,-95.22124444,6247383
SRR3725406,PRJNA322554,29.77152983,-95.22124444,226054
SRR3725415,PRJNA322554,29.77152983,-95.22124444,328056
SRR3725487,PRJNA322554,29.77152983,-95.22124444,6651274
SRR3725492,PRJNA322554,29.77152983,-95.22124444,10158881
SRR3725495,PRJNA322554,29.77152983,-95.22124444,6390136
SRR3725544,PRJNA322554,29.77152983,-95.22124444,9211603
SRR3725547,PRJNA322554,29.77152983,-95.22124444,6431154
SRR3725558,PRJNA322554,29.77152983,-95.22124444,8539914
SRR3725390,PRJNA322554,29.77152983,-95.22124444,4703240
SRR3725397,PRJNA322554,29.77152983,-95.22124444,7389225
SRR3725423,PRJNA322554,29.77152983,-95.22124444,12904391
SRR3725440,PRJNA322554,29.77152983,-95.22124444,3386577
SRR3725441,PRJNA322554,29.77152983,-95.22124444,4310220
SRR3725442,PRJNA322554,29.77152983,-95.22124444,5462647
SRR3725529,PRJNA322554,29.77152983,-95.22124444,2232003
SRR3725530,PRJNA322554,29.77152983,-95.22124444,376162
SRR3725531,PRJNA322554,29.77152983,-95.22124444,670838
SRR3725648,PRJNA322554,29.77152983,-95.22124444,4455181
SRR3725463,PRJNA322554,29.77152983,-95.22124444,6967026
SRR3725489,PRJNA322554,29.77152983,-95.22124444,8984767
SRR3725510,PRJNA322554,29.77152983,-95.22124444,7032064
SRR3725375,PRJNA322554,29.77152983,-95.22124444,5010180
SRR3725385,PRJNA322554,29.77152983,-95.22124444,2892514
SRR3725400,PRJNA322554,29.77152983,-95.22124444,171426
SRR3725401,PRJNA322554,29.77152983,-95.22124444,265445
SRR3725418,PRJNA322554,29.77152983,-95.22124444,493094
SRR3725425,PRJNA322554,29.77152983,-95.22124444,348979
SRR3725432,PRJNA322554,29.77152983,-95.22124444,169078
SRR3725504,PRJNA322554,29.77152983,-95.22124444,2663606
SRR3725537,PRJNA322554,29.77152983,-95.22124444,6296606
SRR3725563,PRJNA322554,29.77152983,-95.22124444,5137696
SRR3725387,PRJNA322554,29.77152983,-95.22124444,5134869
SRR3725391,PRJNA322554,29.77152983,-95.22124444,932097
SRR3725404,PRJNA322554,29.77152983,-95.22124444,417962
SRR3725431,PRJNA322554,29.77152983,-95.22124444,996449
SRR3725433,PRJNA322554,29.77152983,-95.22124444,197011
SRR3725444,PRJNA322554,29.77152983,-95.22124444,5470695
SRR3725447,PRJNA322554,29.77152983,-95.22124444,5639119
SRR3725455,PRJNA322554,29.77152983,-95.22124444,5058108
SRR3725472,PRJNA322554,29.77152983,-95.22124444,4723906
SRR3725475,PRJNA322554,29.77152983,-95.22124444,578998
SRR3725514,PRJNA322554,29.77152983,-95.22124444,4323780
SRR3725525,PRJNA322554,29.77152983,-95.22124444,7452788
SRR3725549,PRJNA322554,29.77152983,-95.22124444,7231009
SRR3725552,PRJNA322554,29.77152983,-95.22124444,8089266
SRR3725395,PRJNA322554,29.77152983,-95.22124444,1296839
SRR3725398,PRJNA322554,29.77152983,-95.22124444,580182
SRR3725407,PRJNA322554,29.77152983,-95.22124444,625338
SRR3725450,PRJNA322554,29.77152983,-95.22124444,5630280
SRR3725451,PRJNA322554,29.77152983,-95.22124444,2411651
SRR3725464,PRJNA322554,29.77152983,-95.22124444,139385
SRR3725465,PRJNA322554,29.77152983,-95.22124444,2927287
SRR3725505,PRJNA322554,29.77152983,-95.22124444,6326415
SRR3725521,PRJNA322554,29.77152983,-95.22124444,13739378
SRR3725524,PRJNA322554,29.77152983,-95.22124444,5769559
SRR3725535,PRJNA322554,29.77152983,-95.22124444,4599451
SRR3725651,PRJNA322554,29.77152983,-95.22124444,5988165
SRR3725388,PRJNA322554,29.77152983,-95.22124444,5768238
SRR3725405,PRJNA322554,29.77152983,-95.22124444,3538688
SRR3725414,PRJNA322554,29.77152983,-95.22124444,10345889
SRR3725470,PRJNA322554,29.77152983,-95.22124444,384695
SRR3725507,PRJNA322554,29.77152983,-95.22124444,413621
SRR3725526,PRJNA322554,29.77152983,-95.22124444,9094871
SRR3725528,PRJNA322554,29.77152983,-95.22124444,8235468
SRR3725534,PRJNA322554,29.77152983,-95.22124444,5796047
SRR3725536,PRJNA322554,29.77152983,-95.22124444,3088194
SRR3725376,PRJNA322554,29.77152983,-95.22124444,8003495
SRR3725378,PRJNA322554,29.77152983,-95.22124444,4032327
SRR3725403,PRJNA322554,29.77152983,-95.22124444,2381373
SRR3725426,PRJNA322554,29.77152983,-95.22124444,15000451
SRR3725429,PRJNA322554,29.77152983,-95.22124444,281556
SRR3725462,PRJNA322554,29.77152983,-95.22124444,5751593
SRR3725466,PRJNA322554,29.77152983,-95.22124444,5216232
SRR3725496,PRJNA322554,29.77152983,-95.22124444,5812752
SRR3725511,PRJNA322554,29.77152983,-95.22124444,6072538
SRR3725533,PRJNA322554,29.77152983,-95.22124444,1269652
SRR3725540,PRJNA322554,29.77152983,-95.22124444,463357
SRR3725559,PRJNA322554,29.77152983,-95.22124444,5949778
SRR3725562,PRJNA322554,29.77152983,-95.22124444,12767547
SRR3725408,PRJNA322554,29.77152983,-95.22124444,11060716
SRR3725412,PRJNA322554,29.77152983,-95.22124444,100541
SRR3725416,PRJNA322554,29.77152983,-95.22124444,5344066
SRR3725421,PRJNA322554,29.77152983,-95.22124444,12013187
SRR3725428,PRJNA322554,29.77152983,-95.22124444,14023026
SRR3725438,PRJNA322554,29.77152983,-95.22124444,5737603
SRR3725461,PRJNA322554,29.77152983,-95.22124444,8137806
SRR3725468,PRJNA322554,29.77152983,-95.22124444,6549322
SRR3725481,PRJNA322554,29.77152983,-95.22124444,3115938
SRR3725484,PRJNA322554,29.77152983,-95.22124444,7585729
SRR3725486,PRJNA322554,29.77152983,-95.22124444,11431020
SRR3725491,PRJNA322554,29.77152983,-95.22124444,564862
SRR3725515,PRJNA322554,29.77152983,-95.22124444,5518367
SRR3725546,PRJNA322554,29.77152983,-95.22124444,1528050
SRR3725604,PRJNA322554,29.77152983,-95.22124444,5172842
SRR3725396,PRJNA322554,29.77152983,-95.22124444,520329
SRR3725413,PRJNA322554,29.77152983,-95.22124444,145725
SRR3725434,PRJNA322554,29.77152983,-95.22124444,132240
SRR3725456,PRJNA322554,29.77152983,-95.22124444,4161735
SRR3725480,PRJNA322554,29.77152983,-95.22124444,6808463
SRR3725506,PRJNA322554,29.77152983,-95.22124444,7283302
SRR3725551,PRJNA322554,29.77152983,-95.22124444,4765979
SRR3725605,PRJNA322554,29.77152983,-95.22124444,469150
SRR3725377,PRJNA322554,29.77152983,-95.22124444,5960262
SRR3725382,PRJNA322554,29.77152983,-95.22124444,6302222
SRR3725448,PRJNA322554,29.77152983,-95.22124444,845462
SRR3725483,PRJNA322554,29.77152983,-95.22124444,9482827
SRR3725501,PRJNA322554,29.77152983,-95.22124444,10774152
SRR3725512,PRJNA322554,29.77152983,-95.22124444,4551878
SRR3725520,PRJNA322554,29.77152983,-95.22124444,8148140
SRR3725541,PRJNA322554,29.77152983,-95.22124444,6007709
SRR3725556,PRJNA322554,29.77152983,-95.22124444,6632240
SRR3725600,PRJNA322554,29.77152983,-95.22124444,4211325
SRR3725602,PRJNA322554,29.77152983,-95.22124444,7922908
SRR3725411,PRJNA322554,29.77152983,-95.22124444,2490847
SRR3725417,PRJNA322554,29.77152983,-95.22124444,1320927
SRR3725445,PRJNA322554,29.77152983,-95.22124444,3993167
SRR3725478,PRJNA322554,29.77152983,-95.22124444,336404
SRR3725488,PRJNA322554,29.77152983,-95.22124444,1174098
SRR3725555,PRJNA322554,29.77152983,-95.22124444,7094497
SRR3725603,PRJNA322554,29.77152983,-95.22124444,1003685
SRR3725383,PRJNA322554,29.77152983,-95.22124444,8916786
SRR3725443,PRJNA322554,29.77152983,-95.22124444,4785889
SRR3725498,PRJNA322554,29.77152983,-95.22124444,6271001
SRR3725539,PRJNA322554,29.77152983,-95.22124444,9688142
SRR3725542,PRJNA322554,29.77152983,-95.22124444,6421233
SRR3725601,PRJNA322554,29.77152983,-95.22124444,1081678
SRR3725485,PRJNA322554,29.77152983,-95.22124444,6411589
SRR3725517,PRJNA322554,29.77152983,-95.22124444,181095
SRR3725430,PRJNA322554,29.77152983,-95.22124444,539663
SRR3725439,PRJNA322554,29.77152983,-95.22124444,3738233
SRR3725449,PRJNA322554,29.77152983,-95.22124444,11090578
SRR3725479,PRJNA322554,29.77152983,-95.22124444,4818500
SRR3725499,PRJNA322554,29.77152983,-95.22124444,10981871
SRR3725508,PRJNA322554,29.77152983,-95.22124444,4748073
SRR3725650,PRJNA322554,29.77152983,-95.22124444,34239771
SRR3725386,PRJNA322554,29.77152983,-95.22124444,5905024
SRR3725389,PRJNA322554,29.77152983,-95.22124444,15127223
SRR3725393,PRJNA322554,29.77152983,-95.22124444,16873959
SRR3725427,PRJNA322554,29.77152983,-95.22124444,3241627
SRR3725437,PRJNA322554,29.77152983,-95.22124444,4736929
SRR3725467,PRJNA322554,29.77152983,-95.22124444,5151484
SRR3725476,PRJNA322554,29.77152983,-95.22124444,5300067
SRR3725545,PRJNA322554,29.77152983,-95.22124444,5169581
SRR3725424,PRJNA322554,29.77152983,-95.22124444,3398742
SRR3725379,PRJNA322554,29.77152983,-95.22124444,2180519
SRR3725381,PRJNA322554,29.77152983,-95.22124444,12300868
SRR3725394,PRJNA322554,29.77152983,-95.22124444,5441642
SRR3725453,PRJNA322554,29.77152983,-95.22124444,3631685
SRR3725460,PRJNA322554,29.77152983,-95.22124444,4996310
SRR3725473,PRJNA322554,29.77152983,-95.22124444,5330242
SRR3725500,PRJNA322554,29.77152983,-95.22124444,5903927
SRR3725519,PRJNA322554,29.77152983,-95.22124444,4894209
SRR3725543,PRJNA322554,29.77152983,-95.22124444,11985435
SRR3725649,PRJNA322554,29.77152983,-95.22124444,644937
SRR3725454,PRJNA322554,29.77152983,-95.22124444,3975271
SRR3725554,PRJNA322554,29.77152983,-95.22124444,1479669
SRR23602723,PRJNA937707,38.8997,-77.0486,45730328
SRR23602724,PRJNA937707,38.8997,-77.0486,32961306
SRR23602725,PRJNA937707,38.8997,-77.0486,24155852
SRR23602726,PRJNA937707,38.8997,-77.0486,29216866
SRR23602727,PRJNA937707,38.8997,-77.0486,32163656
SRR23602728,PRJNA937707,38.8997,-77.0486,37976568
SRR23602729,PRJNA937707,38.8997,-77.0486,37744798
